Date,Open,High,Low,Close
2014-04-23,2068.083984,2076.349121,2059.108887,2067.38208
2014-04-24,2064.156006,2075.75708,2056.193115,2057.032959
2014-04-25,2060.538086,2065.643066,2035.56604,2036.519043
2014-04-28,2033.337036,2035.98999,2000.136963,2003.487061
2014-04-29,2001.895996,2021.680054,1997.640015,2020.340942
2014-04-30,2020.437988,2029.537964,2016.577026,2026.358032
2014-05-05,2022.177979,2028.957031,2007.350952,2027.353027
2014-05-06,2024.255981,2038.704956,2021.484985,2028.037964
2014-05-07,2023.151978,2024.630981,2008.45105,2010.083008
2014-05-08,2006.853027,2036.94104,2005.685059,2015.274048
2014-05-09,2016.500977,2020.453979,2001.300049,2011.13501
2014-05-12,2022.932007,2055.506104,2016.637939,2052.871094
2014-05-13,2055.079102,2061.059082,2043.546997,2050.728027
2014-05-14,2049.27002,2056.573975,2042.744019,2047.910034
2014-05-15,2044.376953,2047.31604,2022.860962,2024.973999
2014-05-16,2023.595947,2027.755981,2012.69397,2026.504028
2014-05-19,2023.014038,2023.266968,1996.015015,2005.182983
2014-05-20,2011.845947,2018.156006,2002.759033,2008.119019
2014-05-21,2001.30603,2025.19397,1991.055054,2024.95105
2014-05-22,2023.147949,2041.959961,2018.876953,2021.285034
2014-05-23,2020.11499,2034.56897,2017.739014,2034.56897
2014-05-26,2042.027954,2045.380981,2035.093994,2041.475952
2014-05-27,2039.791016,2044.147949,2032.838989,2034.564941
2014-05-28,2034.561035,2052.656006,2029.33606,2050.228027
2014-05-29,2051.840088,2057.076904,2039.238037,2040.594971
2014-05-30,2040.394043,2046.959961,2031.373047,2039.212036
2014-06-03,2039.196045,2049.575928,2037.300049,2038.305054
2014-06-04,2037.989014,2038.480957,2012.912964,2024.833984
2014-06-05,2019.442017,2041.70105,2016.175049,2040.878052
2014-06-06,2040.864014,2041.572998,2022.157959,2029.956055
2014-06-09,2024.942017,2045.255005,2023.197998,2030.501953
2014-06-10,2033.207031,2052.764893,2026.389038,2052.531982
2014-06-11,2049.12793,2056.631104,2045.406982,2054.947998
